apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.veken0m.bitcoinium_48', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.ktnx.mobileledger_56', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.schildbach.wallet_test_102400', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([3, 3, 0], [9, 7, 0, 2]), [0, 0, 0], [0, 0]]
['de.chaosdorf.meteroid_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.schildbach.wallet_102400', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([3, 3, 0], [9, 7, 0, 2]), [0, 0, 0], [0, 0]]
['tmendes.com.analyticalbalancedroid_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.pvcodes.debtcalc_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['app.ladefuchs.android_324', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([391, 160, 231], [942, 752, 0, 190]), [49, 2, 27], [0, 0]]
['me.sujanpoudel.playdeals_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.k4ever.k4android_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gitlab.uak.mobile_paper_wallet_102110401', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([52, 43, 9], [146, 141, 0, 5]), [11, 2, 1], [0, 0]]
['org.bitbucket.watashi564.combapp_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dev.maartje.hetsaldo_4', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([114, 23, 91], [285, 197, 5, 83]), [2, 0, 1], [0, 0]]
['net.bitconomy.ckpoolwatcher_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['mobi.boilr.boilr_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
