['com.philkes.notallyx_7000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['com.yacgroup.yacguide.dev_20240326', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ryey.easer.beta_129003', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.noise_planet.noisecapture_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vishnuraghav.EnRecipes_3', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([27, 10, 17], [87, 80, 0, 7]), [1, 1, 1], [0, 0]]
['com.threedlite.urforms_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['player.efis.data.ant.spl_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.streetwriters.notesnook_15189', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([591, 244, 347], [2073, 1805, 0, 268]), [55, 6, 27], [0, 0]]
['com.gitlab.dibdib.dib2calc_2426', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.bald.uriah.baldphone_102', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dev.clombardo.dnsnet_29', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.elfeedcljsrn_10', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([237, 136, 101], [609, 500, 0, 109]), [54, 0, 15], [0, 0]]
