apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.alberto97.ouilookup_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 1, 0], [0, 0]]
['hans.b.skewy1_0_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.sekreto_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.billdietrich.fake_contacts_4', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([34, 4, 30], [125, 112, 1, 12]), [2, 0, 1], [0, 0]]
['com.aidinhut.simpletextcrypt_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['cf.theonewiththebraid.guerrilla_mail_6', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([36, 5, 31], [134, 120, 1, 13]), [2, 0, 1], [0, 0]]
['org.fsociety.vernet_32', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['de.example.fahrraddiebstahl_berlin_2', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([36, 5, 31], [134, 120, 1, 13]), [2, 0, 1], [0, 0]]
['anonvpn.anon_next.android_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([21, 15, 6], [27, 27, 0, 0]), [0, 0, 0], [0, 0]]
['org.adaway_60104', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [10, 9, 0, 1]), [7, 1, 0], [0, 0]]
['org.esupportail.esupnfctagdroid_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([578, 389, 189], [1731, 1604, 0, 127]), [0, 0, 0], [0, 0]]
['com.passcard_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['space.kraut.schluessel_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.chickenhook.binderfuzzy_2', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [11, 3, 0, 8]), [1, 0, 1], [0, 0]]
['de.marionoll.wgautoconnect_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dk.meznik.jan.encrypttext_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sunilpaulmathew.snotz_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.etesync.notes_10700', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([244, 187, 57], [632, 561, 0, 71]), [22, 1, 11], [0, 0]]
['net.nymtech.nymvpn_11800', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([77, 69, 8], [340, 274, 0, 66]), [5, 2, 2], [0, 0]]
['net.mullvad.mullvadvpn_24090099', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 0, 14], [44, 41, 0, 3]), [3, 1, 1], [0, 0]]
['com.kunzisoft.keepass.libre_133', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([7, 3, 4], [36, 36, 0, 0]), [2, 2, 2], [0, 0]]
['org.privacymatters.safespace_40', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([15, 7, 8], [104, 78, 0, 26]), [3, 2, 1], [0, 0]]
['com.glitterware.passy_19', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [3, 0, 1], [0, 0]]
['com.paranoiaworks.unicus.android.sse_118', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([22, 16, 6], [90, 85, 0, 5]), [5, 3, 1], [0, 0]]
['opencontacts.open.com.opencontacts_31', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.projectvoodoo.simplecarrieriqdetector_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['im.status.ethereum_2024121818', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([571, 303, 268], [1379, 1226, 0, 153]), [73, 5, 22], [0, 0]]
['groomiac.crocodilenote_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.guillaumevillena.opendnsupdater_224', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.aravi.dot_30105', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.flipperdevices.app_1846', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([9, 1, 8], [32, 31, 0, 1]), [3, 2, 1], [0, 0]]
['org.sufficientlysecure.keychain_60400', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.keyoxide.keyoxide_216', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['deltazero.amarok.foss_118', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.oversec.one_1005015', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.securefilemanager.app_12', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 0, 3], [17, 11, 0, 6]), [2, 1, 0], [0, 0]]
['org.strongswan.android_84', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([7, 2, 5], [18, 17, 0, 1]), [8, 1, 1], [0, 0]]
['org.witness.sscphase1_5021', 1, [1, 1, 0, 1, 1, 0, 0, 1], 0, ([2, 0, 2], [12, 12, 0, 0]), [1, 1, 0], [0, 0]]
['com.cyb3rko.pincredible_12', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 0, 3], [17, 11, 0, 6]), [2, 1, 0], [0, 0]]
['org.freedombox.freedombox_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.etesync.syncadapter_20404', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([464, 464, 0], [1425, 1152, 0, 273]), [2, 1, 2], [0, 0]]
['org.bitbatzen.wlanscanner_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.rubenpgrady.dpcopycat_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tuyafeng.watt_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.zaneschepke.wireguardautotunnel_36600', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 6, 8], [37, 36, 0, 1]), [8, 3, 1], [0, 0]]
['org.cryptomator.lite_2971', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([19, 0, 19], [92, 70, 0, 22]), [0, 0, 0], [0, 0]]
