apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.livefast.eattrash.raccoonforlemmy.android_141', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([40, 32, 8], [129, 125, 0, 4]), [2, 0, 2], [0, 0]]
['com.maksimowiczm.findmyip_4', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.hfut.schedule_157', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([18, 6, 12], [110, 85, 0, 25]), [3, 2, 1], [0, 0]]
['org.moire.ultrasonic_130', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.atalk.android_401010', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([298, 282, 16], [957, 938, 0, 19]), [10, 9, 0], [0, 0]]
['com.dar.nclientv2_305', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tachibana.downloader_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.tutao.tutanota_396442', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([419, 364, 55], [1396, 1101, 0, 295]), [5, 2, 3], [0, 0]]
['org.futo.circles_4404', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([593, 393, 200], [1846, 1744, 0, 102]), [8, 5, 4], [0, 0]]
['io.github.drumber.kitsune_37', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['hu.tagsoft.ttorrent.search_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.quelltext.mundraub_237', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['moe.dic1911.urlsanitizer_32', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.windscribe.vpn_1570', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([597, 428, 169], [1889, 1401, 0, 488]), [15, 3, 5], [4, 0]]
['search.searx_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['uk.openvk.android.legacy_241', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([25, 18, 7], [65, 61, 0, 4]), [1, 1, 1], [0, 0]]
['de.binary_kitchen.doorlock_app_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.adguard.android.contentblocker_22000009', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.stridetasks.stride_13', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([98, 22, 76], [258, 180, 5, 73]), [3, 0, 1], [0, 0]]
['org.stypox.dicio_13', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([156, 144, 12], [554, 458, 0, 96]), [5, 3, 2], [0, 0]]
['net.sourceforge.dibdib.android.dib2qm_2422', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.antonfluegge.android.yubnubwidgetadfree_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.libre.agosto.p2play_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.spiritcroc.riotx_40101344', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([1646, 796, 850], [4399, 3703, 8, 688]), [72, 7, 24], [0, 0]]
['com.mrsep.musicrecognizer_27', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['is.binary.alcoholnow_6', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([35, 4, 31], [129, 115, 1, 13]), [2, 0, 1], [0, 0]]
['site.leos.setter_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.artectrex.bunny_604', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([19, 19, 0], [42, 42, 0, 0]), [11, 3, 2], [0, 0]]
['org.jak_linux.dns66_29', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([121, 121, 0], [473, 332, 0, 141]), [0, 0, 0], [0, 0]]
['org.dystopia.email_120', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.emanuelef.remote_capture_78', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([24, 24, 0], [50, 44, 0, 6]), [3, 1, 0], [0, 0]]
['com.artivain.reseaudiscord_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.datastopwatch_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.xrcbapp_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([233, 135, 98], [577, 482, 0, 95]), [62, 0, 16], [0, 0]]
['com.anoopknr.pastebin_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.trilinder.tapasclient_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.shadowsocks.plugin.v2ray_1030300', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['com.cweb.messenger_4208104', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([480, 420, 60], [1508, 1142, 8, 358]), [2, 1, 2], [0, 0]]
['com.fabienli.dokuwiki_76', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kolloware.wechange_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
