apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['de.micmun.android.nextcloudcookbook_302', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['nl.viter.glider_49', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['com.edwardoyarzun.diccionario_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['caldwell.ben.bites_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.androidfromfrankfurt.archnews_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.freshrss.easyrss_706', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.gelin.android.browser.open_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['za.co.lukestonehm.logicaldefence_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.prismsw.lampshade_134', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.livefast.eattrash.raccoonforfriendica_74', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([39, 31, 8], [108, 105, 0, 3]), [4, 2, 1], [0, 0]]
['cx.hell.android.pdfview_40000', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([10, 1, 9], [29, 25, 0, 4]), [1, 1, 1], [0, 0]]
['com.nima.wikianime_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.developfreedom.wordpowermadeeasy_1700', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.circle_dev.flux_news_2024092313', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([169, 129, 40], [580, 509, 5, 66]), [4, 1, 2], [0, 0]]
['org.hlwd.bible_multi_the_life_20250128', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [3, 1, 1], [0, 0]]
['com.bugsdev2.bookaccio_301', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([389, 158, 231], [931, 734, 0, 197]), [47, 1, 25], [0, 0]]
['org.mbach.lemonde_36', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([359, 150, 209], [869, 688, 0, 181]), [45, 1, 23], [0, 0]]
['com.artifex.mupdf.mini.app_154', 1, [1, 1, 0, 1, 0, 0, 0, 0], 0, ([606, 29, 577], [1190, 862, 0, 328]), [1, 1, 1], [0, 0]]
['com.github.niccokunzmann.hanumanchalisa_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.softcatala.traductor_39', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['uk.co.busydoingnothing.pocketrl_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.nightwhistler.pageturner_60', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.utazukin.ichaival_46', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([19, 11, 8], [58, 49, 0, 9]), [2, 1, 2], [0, 0]]
['com.elfeedcljsrn_10', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([237, 136, 101], [609, 500, 0, 109]), [54, 0, 15], [0, 0]]
['com.danemadsen.maid_16972', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([80, 14, 66], [225, 169, 4, 52]), [3, 0, 1], [0, 0]]
['io.gitlab.pycpim.marxist_35', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.prof18.feedflow_1012', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.app.equran_123', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([126, 25, 101], [311, 208, 5, 98]), [2, 0, 1], [0, 0]]
['com.bibleside.bibleside_11', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['de.taz.android.app.free_11001900', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([864, 317, 547], [2086, 1549, 0, 537]), [3, 2, 2], [0, 0]]
['com.sobuumedia.sobuu_5', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([24, 16, 8], [70, 69, 0, 1]), [2, 1, 1], [0, 0]]
['io.davidar.fabularium_27', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 12, 0], [30, 26, 0, 4]), [19, 3, 1], [0, 0]]
['de.monocles.translator_604', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([10, 4, 6], [27, 26, 0, 1]), [4, 2, 2], [0, 0]]
['org.legtux.m_316k.fortune_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.yamin8000.owl_46', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['town.robin.toadua_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nolanlawson.jnameconverter_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.gaulupeau.apps.InThePoche_233', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([288, 288, 0], [940, 715, 0, 225]), [1, 0, 1], [0, 0]]
['io.gitlab.coolreader_ng.lxreader.fdroid_80100', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([54, 6, 48], [173, 151, 0, 22]), [1, 1, 1], [0, 0]]
