apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.asafonov.blockbuster_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gatheringhallstudios.mhworlddatabase_23', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.nogafam.lifecounter_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['cc.sovellus.vrcaa_200306', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['net.asceai.meritous_4', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([53, 41, 12], [169, 169, 0, 0]), [6, 3, 2], [0, 0]]
['evil.spin_103', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.onetwofivegames.kungfoobarracuda_3', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['de.z11.roboyard_48', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kaeruct.glxy_23', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([58, 58, 0], [321, 282, 0, 39]), [1, 1, 0], [0, 0]]
['de.rainerhock.eightbitwonders_100040', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([28, 1, 27], [104, 98, 0, 6]), [7, 1, 1], [0, 0]]
['com.arxlibertatis_10', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([66, 45, 21], [173, 171, 0, 2]), [7, 2, 2], [0, 0]]
['com.workingagenda.devinettes_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.dfzlv.gjjlt.caramelos_7', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([562, 136, 426], [1986, 1885, 0, 101]), [3, 3, 0], [0, 0]]
['io.github.alketii.mightyknight_1', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([23, 23, 0], [75, 70, 0, 5]), [1, 1, 0], [0, 0]]
['com.shatteredpixel.shatteredpixeldungeon_802', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([60, 60, 0], [191, 176, 0, 15]), [2, 2, 0], [0, 0]]
['wsdfhjxc.taponium_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.msx80.retrodrawing_4', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([59, 59, 0], [326, 285, 0, 41]), [1, 1, 0], [0, 0]]
['link.standen.michael.fatesheets_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.johncasson.meerkatchallenge_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.controlloid_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([192, 131, 61], [491, 418, 0, 73]), [16, 0, 10], [0, 0]]
['com.seavenois.tetris_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ua.gardenapple.itchupdater_20303', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.henridellal.patolli_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.rechnen.app_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.hexad.bluezime.hidenabler_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.stefan_oltmann.kaesekaestchen_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.limelight_314', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([32, 32, 0], [132, 132, 0, 0]), [1, 1, 0], [0, 0]]
['io.github.martinschneider.juvavum_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([6, 0, 6], [16, 14, 0, 2]), [0, 0, 0], [0, 0]]
['io.github.engsergiu.react_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.kaajjo.libresudoku_21', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.github.m374lx.alexvsbus_3', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['org.secuso.privacyfriendly2048_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.o2genum.coregame_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.iamrezamousavi.mafia_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.simonramstedt.yoke_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vulnerabbity.geoperion_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['im.r_c.android.jigsaw_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.quaap.phonefonefun_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.platypus.dicer_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.games.boardgames.aeonsend_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jonglen7.jugglinglab_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.siete_media_3', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
